departure_city,destination_city,departure_airport,arrival_airport,destination_country_code,price,duration_minutes,flights_per_day,flights_per_week,first_flight,last_flight
Budapest,"Basel, Switzerland/Mulhouse",BUD,BSL,FR,30,100,2-4 flights,20,4/20/2018,4/9/2027
Zagreb,"Basel, Switzerland/Mulhouse",ZAG,BSL,FR,30,95,1 flight,7,7/18/2022,11/6/2026
Palma de Mallorca,"Basel, Switzerland/Mulhouse",PMI,BSL,FR,30,115,1-3 flights,15,3/28/2018,4/9/2027
Warsaw,"Basel, Switzerland/Mulhouse",WAW,BSL,FR,30,125,0-1 flights,5,10/28/2018,11/6/2026
Bucharest,"Basel, Switzerland/Mulhouse",OTP,BSL,FR,30,155,0-2 flights,7,0,11/5/2026
Manchester,"Basel, Switzerland/Mulhouse",MAN,BSL,FR,40,110,0-1 flights,5,0,4/9/2027
Rome,"Basel, Switzerland/Mulhouse",FCO,BSL,FR,40,100,1 flight,7,9/6/2022,4/8/2027
Naples,"Basel, Switzerland/Mulhouse",NAP,BSL,FR,40,113,1-2 flights,10,0,4/9/2027
Nice,"Basel, Switzerland/Mulhouse",NCE,BSL,FR,40,70,2 flights,14,0,4/9/2027
Venice,"Basel, Switzerland/Mulhouse",VCE,BSL,FR,40,80,0-1 flights,2,12/18/2022,4/9/2027
Cluj-napoca,"Basel, Switzerland/Mulhouse",CLJ,BSL,FR,40,130,0-1 flights,4,0,11/4/2026
Iasi,"Basel, Switzerland/Mulhouse",IAS,BSL,FR,40,155,0-1 flights,3,12/13/2022,11/1/2026
Bordeaux,"Basel, Switzerland/Mulhouse",BOD,BSL,FR,40,90,0-1 flights,4,0,4/8/2027
Barcelona,"Basel, Switzerland/Mulhouse",BCN,BSL,FR,40,115,3-4 flights,27,12/13/2019,4/9/2027
Dublin,"Basel, Switzerland/Mulhouse",DUB,BSL,FR,40,140,0-1 flights,3,0,11/5/2026
London,"Basel, Switzerland/Mulhouse",STN,BSL,FR,40,100,0-1 flights,3,12/16/2023,11/3/2026
Krakow,"Basel, Switzerland/Mulhouse",KRK,BSL,FR,40,110,1-2 flights,12,3/29/2022,4/9/2027
Montpellier,"Basel, Switzerland/Mulhouse",MPL,BSL,FR,50,75,0-1 flights,2,12/15/2023,4/8/2027
Prague,"Basel, Switzerland/Mulhouse",PRG,BSL,FR,50,80,0-1 flights,2,0,4/8/2027
Pristina,"Basel, Switzerland/Mulhouse",PRN,BSL,FR,50,135,5-8 flights,44,10/29/2023,4/9/2027
Thessaloniki,"Basel, Switzerland/Mulhouse",SKG,BSL,FR,50,150,0-1 flights,2,3/27/2018,4/9/2027
Hamburg,"Basel, Switzerland/Mulhouse",HAM,BSL,FR,50,85,0-2 flights,10,5/2/2020,4/8/2027
London,"Basel, Switzerland/Mulhouse",LGW,BSL,FR,50,100,1-2 flights,11,0,4/9/2027
Berlin,"Basel, Switzerland/Mulhouse",BER,BSL,FR,50,85,1-2 flights,12,11/1/2020,4/9/2027
Copenhagen,"Basel, Switzerland/Mulhouse",CPH,BSL,FR,50,110,1-3 flights,11,6/3/2024,4/9/2027
Porto,"Basel, Switzerland/Mulhouse",OPO,BSL,FR,50,150,1-2 flights,11,0,4/9/2027
Nantes,"Basel, Switzerland/Mulhouse",NTE,BSL,FR,50,90,0-1 flights,2,12/13/2024,4/8/2027
Alicante,"Basel, Switzerland/Mulhouse",ALC,BSL,FR,50,135,1 flight,7,0,4/8/2027
Bristol,"Basel, Switzerland/Mulhouse",BRS,BSL,FR,50,95,0-1 flights,2,12/17/2021,4/8/2027
Santiago,"Basel, Switzerland/Mulhouse",SCQ,BSL,FR,50,135,0-1 flights,2,0,4/8/2027
Malaga,"Basel, Switzerland/Mulhouse",AGP,BSL,FR,50,155,1 flight,7,0,4/9/2027
Valencia,"Basel, Switzerland/Mulhouse",VLC,BSL,FR,50,130,0-1 flights,2,3/29/2020,4/6/2027
Toulouse,"Basel, Switzerland/Mulhouse",TLS,BSL,FR,50,85,0-1 flights,4,0,4/8/2027
Madrid,"Basel, Switzerland/Mulhouse",MAD,BSL,FR,50,130,1-2 flights,9,0,4/9/2027
Palermo,"Basel, Switzerland/Mulhouse",PMO,BSL,FR,60,120,0-1 flights,2,0,4/9/2027
Ibiza,"Basel, Switzerland/Mulhouse",IBZ,BSL,FR,60,125,0-1 flights,2,3/27/2018,4/9/2027
Amsterdam,"Basel, Switzerland/Mulhouse",AMS,BSL,FR,60,75,4-5 flights,33,0,4/9/2027
Catania,"Basel, Switzerland/Mulhouse",CTA,BSL,FR,60,140,0-1 flights,2,0,4/9/2027
Olbia,"Basel, Switzerland/Mulhouse",OLB,BSL,FR,60,95,0-1 flights,2,3/25/2018,4/9/2027
Brindisi,"Basel, Switzerland/Mulhouse",BDS,BSL,FR,60,120,0-1 flights,4,0,4/8/2027
Istanbul,"Basel, Switzerland/Mulhouse",IST,BSL,FR,70,190,2-4 flights,21,0,10/15/2026
Pula,"Basel, Switzerland/Mulhouse",PUY,BSL,FR,70,75,0-1 flights,2,6/26/2018,4/9/2027
London,"Basel, Switzerland/Mulhouse",LTN,BSL,FR,70,90,0-1 flights,4,11/7/2024,11/4/2026
Bastia,"Basel, Switzerland/Mulhouse",BIA,BSL,FR,70,80,0-1 flights,1,3/28/2018,4/9/2027
Larnaca,"Basel, Switzerland/Mulhouse",LCA,BSL,FR,70,255,0-1 flights,2,12/14/2019,4/9/2027
Istanbul,"Basel, Switzerland/Mulhouse",SAW,BSL,FR,70,190,3 flights,21,0,11/1/2026
Edinburgh,"Basel, Switzerland/Mulhouse",EDI,BSL,FR,70,120,0-1 flights,4,0,4/8/2027
Faro,"Basel, Switzerland/Mulhouse",FAO,BSL,FR,70,170,0-1 flights,2,3/26/2018,4/9/2027
Athens,"Basel, Switzerland/Mulhouse",ATH,BSL,FR,70,180,0-1 flights,2,3/26/2018,4/4/2027
Lisbon,"Basel, Switzerland/Mulhouse",LIS,BSL,FR,70,165,1-2 flights,10,3/31/2019,4/9/2027
Split,"Basel, Switzerland/Mulhouse",SPU,BSL,FR,70,95,0-1 flights,2,3/25/2018,4/9/2027
London,"Basel, Switzerland/Mulhouse",LHR,BSL,FR,70,100,2-4 flights,21,0,4/9/2027
Antalya,"Basel, Switzerland/Mulhouse",AYT,BSL,FR,80,225,1-3 flights,15,10/15/2018,4/6/2027
Ajaccio,"Basel, Switzerland/Mulhouse",AJA,BSL,FR,80,85,0-1 flights,2,3/29/2018,4/9/2027
Ankara,"Basel, Switzerland/Mulhouse",ESB,BSL,FR,80,195,0-1 flights,1,6/27/2021,10/23/2025
Menorca,"Basel, Switzerland/Mulhouse",MAH,BSL,FR,90,105,0-1 flights,2,5/13/2018,4/9/2027
Lamezia,"Basel, Switzerland/Mulhouse",SUF,BSL,FR,90,125,0-1 flights,2,6/8/2018,4/8/2027
Fuerteventura,"Basel, Switzerland/Mulhouse",FUE,BSL,FR,90,250,0-1 flights,3,6/16/2018,4/9/2027
Cagliari,"Basel, Switzerland/Mulhouse",CAG,BSL,FR,90,110,0-1 flights,3,3/25/2018,4/8/2027
Paris,"Basel, Switzerland/Mulhouse",CDG,BSL,FR,90,65,2 flights,14,0,10/15/2026
Vienna,"Basel, Switzerland/Mulhouse",VIE,BSL,FR,100,85,1-2 flights,13,6/8/2018,10/15/2026
Dubrovnik,"Basel, Switzerland/Mulhouse",DBV,BSL,FR,100,110,0-1 flights,1,6/27/2018,9/19/2026
Sevilla,"Basel, Switzerland/Mulhouse",SVQ,BSL,FR,100,150,0-1 flights,2,6/18/2018,11/5/2026
Funchal,"Basel, Switzerland/Mulhouse",FNC,BSL,FR,100,235,0-1 flights,3,5/3/2018,4/7/2027
Izmir,"Basel, Switzerland/Mulhouse",ADB,BSL,FR,110,195,0-1 flights,4,6/22/2018,10/15/2026
Tenerife,"Basel, Switzerland/Mulhouse",TFS,BSL,FR,110,260,0-1 flights,4,0,4/9/2027
Malta,"Basel, Switzerland/Mulhouse",MLA,BSL,FR,110,160,0-1 flights,2,5/18/2024,4/9/2027
Oslo,"Basel, Switzerland/Mulhouse",OSL,BSL,FR,110,140,0-1 flights,2,6/2/2024,9/15/2026
Frankfurt,"Basel, Switzerland/Mulhouse",FRA,BSL,FR,120,55,5-6 flights,36,3/30/2025,10/15/2026
Bilbao,"Basel, Switzerland/Mulhouse",BIO,BSL,FR,120,100,0-1 flights,2,4/4/2025,8/18/2026
Arrecife,"Basel, Switzerland/Mulhouse",ACE,BSL,FR,130,250,0-1 flights,2,6/16/2018,4/9/2027
Gran Canaria,"Basel, Switzerland/Mulhouse",LPA,BSL,FR,130,260,0-1 flights,2,0,4/10/2027
Munich,"Basel, Switzerland/Mulhouse",MUC,BSL,FR,140,55,3 flights,21,5/9/2020,10/15/2026
Zadar,"Basel, Switzerland/Mulhouse",ZAD,BSL,FR,140,85,0-1 flights,3,6/22/2020,8/18/2026
Kerkyra/corfu,"Basel, Switzerland/Mulhouse",CFU,BSL,FR,150,140,0-1 flights,1,5/19/2018,9/18/2026
Biarritz-bayonne,"Basel, Switzerland/Mulhouse",BIQ,BSL,FR,180,100,0-1 flights,1,6/27/2018,9/19/2026
Heraklion,"Basel, Switzerland/Mulhouse",HER,BSL,FR,200,195,0-1 flights,3,4/14/2018,4/7/2027
Figari,"Basel, Switzerland/Mulhouse",FSC,BSL,FR,220,95,0-1 flights,2,6/27/2018,8/15/2026
Rhodos,"Basel, Switzerland/Mulhouse",RHO,BSL,FR,220,195,0-1 flights,2,4/28/2018,8/16/2026
Kos,"Basel, Switzerland/Mulhouse",KGS,BSL,FR,250,200,0-1 flights,1,5/9/2018,9/16/2026
Nantes,Bastia,NTE,BIA,FR,30,110,1-2 flights,8,4/21/2018,10/15/2026
Montpellier,Bastia,MPL,BIA,FR,30,70,0-1 flights,1,4/14/2018,9/5/2026
Brest,Bastia,BES,BIA,FR,30,125,0-1 flights,1,4/14/2018,10/15/2026
Lyon,Bastia,LYS,BIA,FR,30,75,0-3 flights,9,3/30/2018,4/8/2027
Bordeaux,Bastia,BOD,BIA,FR,30,100,0-1 flights,2,6/26/2018,10/15/2026
Strasbourg,Bastia,SXB,BIA,FR,40,85,0-1 flights,1,4/21/2018,10/15/2026
Lille,Bastia,LIL,BIA,FR,40,120,0-1 flights,3,5/13/2018,10/15/2026
Mulhouse,Bastia,BSL,BIA,FR,60,80,0-1 flights,2,3/28/2018,4/9/2027
Toulouse,Bastia,TLS,BIA,FR,60,85,0-1 flights,2,3/29/2018,10/31/2026
Geneva,Bastia,GVA,BIA,FR,70,75,0-1 flights,2,3/30/2018,4/9/2027
Charleroi,Bastia,CRL,BIA,FR,80,105,0-1 flights,1,3/28/2018,10/15/2026
London,Bastia,LGW,BIA,FR,90,135,0-1 flights,1,4/29/2018,4/9/2027
Berlin,Bastia,BER,BIA,FR,100,120,0-1 flights,2,4/3/2021,10/15/2026
Nice,Bastia,NCE,BIA,FR,100,50,3 flights,21,0,4/4/2027
Paris,Bastia,ORY,BIA,FR,100,95,3-4 flights,25,0,11/6/2026
Marseille,Bastia,MRS,BIA,FR,110,55,2-4 flights,21,0,4/9/2027
Copenhagen,Bastia,CPH,BIA,FR,130,145,0-1 flights,1,4/28/2018,4/9/2027
Beauvais,Bastia,BVA,BIA,FR,130,105,0-1 flights,2,7/6/2025,9/15/2026
Rotterdam,Bastia,RTM,BIA,FR,140,110,0-1 flights,1,4/22/2022,11/1/2026
Luxemburg,Bastia,LUX,BIA,FR,140,95,0-1 flights,2,4/21/2018,9/15/2026
Duesseldorf,Bastia,DUS,BIA,FR,160,110,0-1 flights,2,3/24/2018,10/15/2026
Stuttgart,Bastia,STR,BIA,FR,170,90,0-1 flights,1,3/24/2018,10/15/2026
Cologne,Bastia,CGN,BIA,FR,180,110,0-1 flights,1,3/24/2018,10/15/2026
Frankfurt,Bastia,FRA,BIA,FR,190,100,0-1 flights,3,4/28/2018,10/15/2026
Munich,Bastia,MUC,BIA,FR,200,85,0-1 flights,1,5/19/2018,10/15/2026
Nuernberg,Bastia,NUE,BIA,FR,210,100,0-1 flights,1,5/19/2018,10/15/2026
Stockholm,Bastia,ARN,BIA,FR,210,185,0-1 flights,1,4/28/2018,10/15/2026
Rome,Bastia,FCO,BIA,FR,220,55,0-1 flights,2,7/3/2023,9/15/2026
Ankara,Batman,ESB,BAL,TR,60,85,1-2 flights,10,0,9/15/2026
Istanbul,Batman,IST,BAL,TR,70,120,3-5 flights,25,0,10/15/2026
Istanbul,Batman,SAW,BAL,TR,70,110,1-2 flights,11,0,10/15/2026
Marseille,Batna,MRS,BLJ,DZ,110,85,0-1 flights,1,12/20/2021,11/1/2026
Paris,Batna,ORY,BLJ,DZ,120,135,0-1 flights,1,6/19/2019,11/3/2026
Lyon,Batna,LYS,BLJ,DZ,130,110,0-1 flights,1,12/18/2021,11/6/2026
Baku,Batumi,GYD,BUS,GE,100,90,0-1 flights,1,6/14/2019,10/15/2026
Istanbul,Batumi,SAW,BUS,GE,110,110,0-1 flights,5,3/29/2020,3/28/2026
Istanbul,Batumi,IST,BUS,GE,110,115,1-3 flights,13,0,10/15/2026
Riga,Batumi,RIX,BUS,GE,260,240,0-1 flights,1,5/2/2023,9/13/2026
Baku,Beijing,GYD,PEK,CN,220,445,0-1 flights,3,12/15/2019,10/15/2026
Alma-ata,Beijing,ALA,PKX,CN,380,285,1 flight,7,1/23/2024,10/15/2026
Alma-ata,Beijing,ALA,PEK,CN,440,275,0-2 flights,9,5/1/2020,10/15/2026
London,Beijing,LGW,PEK,CN,470,605,1 flight,7,6/1/2024,10/15/2026
Dublin,Beijing,DUB,PEK,CN,480,605,0-1 flights,4,4/2/2024,11/2/2026
Edinburgh,Beijing,EDI,PEK,CN,480,610,0-1 flights,2,5/17/2024,10/15/2026
London,Beijing,LHR,PKX,CN,490,608,1 flight,7,10/26/2019,4/4/2027
Manchester,Beijing,MAN,PEK,CN,490,600,0-1 flights,4,0,10/31/2026
Budapest,Beijing,BUD,PEK,CN,500,590,0-1 flights,4,3/23/2023,9/15/2026
Brussels,Beijing,BRU,PEK,CN,510,630,1-2 flights,10,0,11/2/2026
Prague,Beijing,PRG,PEK,CN,520,560,0-1 flights,3,0,11/1/2026
Warsaw,Beijing,WAW,PEK,CN,520,540,0-1 flights,4,4/26/2020,10/15/2026
London,Beijing,LHR,PEK,CN,530,585,2 flights,14,0,10/15/2026
Berlin,Beijing,BER,PEK,CN,550,545,0-1 flights,5,0,10/31/2026
Madrid,Beijing,MAD,PEK,CN,600,660,1-2 flights,12,4/2/2022,10/15/2026
Amsterdam,Beijing,AMS,PEK,CN,610,655,0-1 flights,6,10/25/2020,4/3/2027
Vienna,Beijing,VIE,PEK,CN,660,570,0-1 flights,6,4/25/2020,10/15/2026
Munich,Beijing,MUC,PEK,CN,660,620,1-2 flights,12,4/25/2020,10/15/2026
Amsterdam,Beijing,AMS,PKX,CN,660,605,1 flight,7,0,9/15/2026
Frankfurt,Beijing,FRA,PEK,CN,670,560,2-3 flights,17,4/25/2020,10/15/2026
Rome,Beijing,FCO,PEK,CN,680,590,1 flight,7,4/29/2020,10/15/2026
Barcelona,Beijing,BCN,PEK,CN,690,685,1 flight,7,0,10/15/2026
Belgrade,Beijing,BEG,PEK,CN,690,600,0-1 flights,2,0,11/2/2026
Milano,Beijing,MXP,PEK,CN,700,620,1 flight,7,4/29/2020,10/15/2026
Copenhagen,Beijing,CPH,PEK,CN,700,528,1 flight,7,3/27/2018,10/15/2026
Istanbul,Beijing,IST,PKX,CN,710,550,0-1 flights,3,6/20/2020,10/15/2026
Paris,Beijing,CDG,PEK,CN,770,615,2-3 flights,19,9/1/2020,10/15/2026
Oslo,Beijing,OSL,PEK,CN,770,540,0-1 flights,3,5/15/2019,9/15/2026
Istanbul,Beijing,IST,PEK,CN,780,550,2-6 flights,24,12/20/2018,10/15/2026
Stockholm,Beijing,ARN,PEK,CN,780,505,1-2 flights,12,0,10/15/2026
Athens,Beijing,ATH,PEK,CN,800,605,0-1 flights,4,4/1/2023,9/15/2026
Geneva,Beijing,GVA,PEK,CN,910,605,0-1 flights,4,0,10/15/2026
Larnaca,Beirut,LCA,BEY,LB,80,50,2 flights,14,8/1/2024,4/4/2027
Antalya,Beirut,AYT,BEY,LB,110,75,0-2 flights,6,9/15/2018,10/15/2026
Istanbul,Beirut,SAW,BEY,LB,120,105,2 flights,14,1/1/2025,5/31/2026
Izmir,Beirut,ADB,BEY,LB,120,95,0-1 flights,3,6/8/2022,10/15/2026
Istanbul,Beirut,IST,BEY,LB,120,115,7-12 flights,67,0,4/7/2027
Yerevan,Beirut,EVN,BEY,LB,130,120,0-1 flights,3,4/19/2019,4/5/2027
Ankara,Beirut,ESB,BEY,LB,130,85,0-1 flights,6,3/29/2022,11/1/2026
Amsterdam,Beirut,AMS,BEY,LB,150,265,0-1 flights,4,11/1/2018,11/5/2026
Athens,Beirut,ATH,BEY,LB,160,110,1-2 flights,8,9/2/2020,4/6/2027
Marseille,Beirut,MRS,BEY,LB,170,235,0-1 flights,1,6/12/2018,11/6/2026
Lyon,Beirut,LYS,BEY,LB,180,245,0-1 flights,1,6/8/2019,11/5/2026
Paris,Beirut,ORY,BEY,LB,200,270,1 flight,7,1/7/2025,11/6/2026
Stockholm,Beirut,ARN,BEY,LB,210,275,0-1 flights,2,6/30/2019,10/15/2026
Dalaman,Beirut,DLM,BEY,LB,220,75,0-1 flights,2,5/19/2020,10/25/2025
Bucharest,Beirut,OTP,BEY,LB,220,135,0-1 flights,2,11/1/2024,11/1/2026
Zurich,Beirut,ZRH,BEY,LB,220,230,0-1 flights,2,12/17/2022,9/10/2026
Berlin,Beirut,BER,BEY,LB,240,230,0-2 flights,4,10/22/2024,10/15/2026
Warsaw,Beirut,WAW,BEY,LB,250,215,0-1 flights,4,6/14/2019,10/15/2026
Duesseldorf,Beirut,DUS,BEY,LB,250,255,0-1 flights,5,6/7/2019,4/3/2027
Milano,Beirut,MXP,BEY,LB,290,215,0-1 flights,3,0,4/4/2027
Madrid,Beirut,MAD,BEY,LB,330,280,0-1 flights,3,6/16/2018,4/6/2027
Paris,Beirut,CDG,BEY,LB,330,250,3 flights,21,12/5/2024,4/3/2027
Rome,Beirut,FCO,BEY,LB,330,190,0-1 flights,3,5/2/2020,4/3/2027
Copenhagen,Beirut,CPH,BEY,LB,350,250,0-1 flights,4,3/24/2018,10/30/2027
Bremen,Beirut,BRE,BEY,LB,350,245,0-1 flights,1,10/21/2025,10/15/2026
Frankfurt,Beirut,FRA,BEY,LB,360,240,2-3 flights,17,12/1/2024,4/3/2027
Brussels,Beirut,BRU,BEY,LB,420,250,0-1 flights,3,0,4/6/2027
Geneva,Beirut,GVA,BEY,LB,430,230,0-1 flights,4,0,4/3/2027
London,Beirut,LHR,BEY,LB,460,275,1 flight,7,0,10/30/2027
Nice,Beirut,NCE,BEY,LB,610,220,0-1 flights,6,6/15/2018,9/15/2025
Marseille,Bejaia,MRS,BJA,DZ,70,95,0-1 flights,4,12/16/2021,10/31/2026
Paris,Bejaia,CDG,BJA,DZ,100,140,0-1 flights,4,10/29/2019,11/5/2026
Lyon,Bejaia,LYS,BJA,DZ,110,110,0-1 flights,4,4/22/2020,11/5/2026
Paris,Bejaia,ORY,BJA,DZ,110,143,1-3 flights,14,12/19/2021,11/6/2026
Lille,Bejaia,LIL,BJA,DZ,120,150,0-1 flights,1,2/18/2020,3/1/2026
Lisbon,Belem,LIS,BEL,BR,610,490,0-1 flights,6,9/2/2020,9/15/2026
London,Belfast,STN,BFS,GB,20,80,5-6 flights,38,3/1/2018,4/9/2027
London,Belfast,LTN,BFS,GB,20,75,2-3 flights,17,0,4/9/2027
Beauvais,Belfast,BVA,BFS,GB,30,95,0-1 flights,2,3/27/2023,4/15/2026
Valencia,Belfast,VLC,BFS,GB,30,180,0-1 flights,2,6/23/2018,4/15/2026
Porto,Belfast,OPO,BFS,GB,30,150,0-1 flights,2,10/29/2023,10/15/2026
Gerona,Belfast,GRO,BFS,GB,30,160,0-1 flights,3,3/26/2018,10/15/2026
East Midlands,Belfast,EMA,BFS,GB,30,65,0-1 flights,3,3/27/2023,11/5/2026
Birmingham,Belfast,BHX,BFS,GB,30,65,3-4 flights,25,0,4/9/2027
Manchester,Belfast,MAN,BFS,GB,30,60,3-7 flights,35,3/26/2023,4/9/2027
Malaga,Belfast,AGP,BFS,GB,30,195,2-3 flights,17,5/5/2018,4/9/2027
Edinburgh,Belfast,EDI,BFS,GB,30,50,3-7 flights,33,3/26/2023,4/9/2027
Glasgow,Belfast,GLA,BHD,GB,40,45,1-2 flights,11,10/31/2022,4/9/2027
Alicante,Belfast,ALC,BFS,GB,40,185,2-4 flights,17,9/15/2018,4/9/2027
London,Belfast,LGW,BFS,GB,40,90,2-5 flights,28,0,4/9/2027
Gdansk,Belfast,GDN,BFS,GB,40,150,0-1 flights,2,3/27/2023,11/4/2026
Southampton,Belfast,SOU,BFS,GB,40,80,0-1 flights,2,2/9/2023,4/9/2027
Palma de Mallorca,Belfast,PMI,BFS,GB,40,180,1-4 flights,16,3/26/2018,4/9/2027
Glasgow,Belfast,GLA,BFS,GB,40,45,2-3 flights,18,0,4/9/2027
Faro,Belfast,FAO,BFS,GB,40,185,0-2 flights,7,3/26/2018,4/9/2027
Bergamo,Belfast,BGY,BFS,GB,40,150,0-1 flights,2,9/14/2019,10/15/2026
Liverpool,Belfast,LPL,BFS,GB,40,50,2-4 flights,24,0,4/9/2027
Paris,Belfast,CDG,BFS,GB,40,110,0-2 flights,8,0,4/9/2027
Newcastle,Belfast,NCL,BFS,GB,50,55,1-4 flights,18,0,4/9/2027
Bristol,Belfast,BRS,BHD,GB,50,70,0-1 flights,3,9/7/2022,4/8/2027
Budapest,Belfast,BUD,BFS,GB,50,175,0-1 flights,2,11/4/2023,11/4/2026
Liverpool,Belfast,LPL,BHD,GB,50,50,0-1 flights,5,12/15/2018,4/9/2027
Bristol,Belfast,BRS,BFS,GB,50,70,1-3 flights,16,0,4/9/2027
London,Belfast,LTN,BHD,GB,50,75,0-1 flights,4,0,4/8/2027
Geneva,Belfast,GVA,BFS,GB,50,140,0-1 flights,1,12/15/2018,4/9/2027
Manchester,Belfast,MAN,BHD,GB,50,60,3-4 flights,24,10/30/2022,4/9/2027
Leeds,Belfast,LBA,BFS,GB,50,60,0-1 flights,4,0,4/9/2027
London,Belfast,LGW,BHD,GB,60,90,3 flights,21,0,4/8/2027
Kaunas,Belfast,KUN,BFS,GB,60,175,0-1 flights,2,10/27/2024,11/3/2026
Birmingham,Belfast,BHX,BHD,GB,70,75,5-7 flights,41,3/16/2022,10/31/2026
Edinburgh,Belfast,EDI,BHD,GB,70,55,3-4 flights,26,9/15/2022,10/15/2026
East Midlands,Belfast,EMA,BHD,GB,70,75,0-1 flights,3,0,9/15/2026
Leeds,Belfast,LBA,BHD,GB,70,70,4-6 flights,30,3/27/2022,10/15/2026
Amsterdam,Belfast,AMS,BFS,GB,70,100,0-1 flights,4,0,4/7/2027
Southampton,Belfast,SOU,BHD,GB,70,95,2 flights,14,7/28/2022,10/15/2026
Exeter,Belfast,EXT,BHD,GB,80,90,0-1 flights,2,3/17/2022,10/15/2026
Cardiff,Belfast,CWL,BHD,GB,80,85,1 flight,7,6/6/2022,10/15/2026
Arrecife,Belfast,ACE,BFS,GB,80,260,0-2 flights,9,10/30/2018,4/9/2027
Prague,Belfast,PRG,BFS,GB,80,160,0-1 flights,2,10/29/2018,11/6/2026
London,Belfast,LHR,BHD,GB,80,85,4-7 flights,42,10/3/2023,4/9/2027
Barcelona,Belfast,BCN,BFS,GB,80,175,0-1 flights,2,3/26/2018,4/8/2027
Nice,Belfast,NCE,BFS,GB,80,165,0-1 flights,2,4/28/2018,8/15/2026
Bordeaux,Belfast,BOD,BFS,GB,80,130,0-1 flights,2,4/28/2018,4/9/2027
Palma de Mallorca,Belfast,PMI,BHD,GB,90,185,0-1 flights,2,6/24/2024,9/17/2026
Menorca,Belfast,MAH,BFS,GB,100,185,0-1 flights,2,5/4/2018,4/9/2027
London,Belfast,LCY,BHD,GB,110,75,1-3 flights,17,10/29/2023,4/8/2027
Krakow,Belfast,KRK,BFS,GB,110,175,0-2 flights,6,3/29/2022,4/8/2027
Jersey,Belfast,JER,BFS,GB,120,85,0-1 flights,2,3/27/2018,4/9/2027
Lyon,Belfast,LYS,BFS,GB,120,140,0-1 flights,1,12/15/2018,11/6/2026
Inverness,Belfast,INV,BHD,GB,120,65,0-1 flights,4,8/25/2022,10/4/2026
Amsterdam,Belfast,AMS,BHD,GB,120,90,2 flights,14,8/3/2020,4/3/2027
Antalya,Belfast,AYT,BFS,GB,140,305,0-1 flights,2,5/3/2018,4/3/2027
Malta,Belfast,MLA,BFS,GB,140,235,0-1 flights,1,4/5/2018,11/2/2026
Gran Canaria,Belfast,LPA,BFS,GB,140,275,0-1 flights,2,2/12/2018,11/6/2026
Aberdeen,Belfast,ABZ,BHD,GB,150,60,0-1 flights,5,8/26/2022,10/4/2026
Ibiza,Belfast,IBZ,BFS,GB,160,185,0-1 flights,2,5/3/2018,10/15/2026
Larnaca,Belfast,LCA,BFS,GB,170,335,0-1 flights,1,4/4/2018,4/7/2027
Tenerife,Belfast,TFS,BFS,GB,170,270,1-2 flights,12,9/13/2019,4/9/2027
Dalaman,Belfast,DLM,BFS,GB,200,295,0-1 flights,5,5/4/2018,4/7/2027
Paphos,Belfast,PFO,BFS,GB,210,330,0-1 flights,1,5/2/2018,10/15/2026
Reus,Belfast,REU,BFS,GB,210,160,0-1 flights,1,5/4/2018,10/15/2026
Rhodos,Belfast,RHO,BFS,GB,250,295,0-2 flights,4,5/4/2018,4/9/2027
Fuerteventura,Belfast,FUE,BFS,GB,340,270,0-1 flights,4,10/31/2018,11/1/2026
Dubrovnik,Belfast,DBV,BFS,GB,350,215,0-1 flights,1,5/6/2018,10/15/2026
Zakynthos,Belfast,ZTH,BFS,GB,400,265,0-1 flights,1,5/2/2018,9/30/2026
Villafranca,Belfast,VRN,BFS,GB,470,165,0-1 flights,1,1/5/2019,9/15/2026
Heraklion,Belfast,HER,BFS,GB,510,285,0-1 flights,2,5/7/2018,10/15/2026
Memmingen,Belgrade,FMM,BEG,RS,20,100,1-2 flights,10,0,11/2/2026
Beauvais,Belgrade,BVA,BEG,RS,30,140,0-1 flights,4,0,10/31/2026
Malta,Belgrade,MLA,BEG,RS,30,115,0-2 flights,6,3/31/2018,11/5/2026
Nice,Belgrade,NCE,BEG,RS,30,110,0-1 flights,5,6/2/2019,10/31/2026
Hamburg,Belgrade,HAM,BEG,RS,30,125,0-1 flights,5,9/15/2018,11/5/2026
Eindhoven,Belgrade,EIN,BEG,RS,40,135,0-1 flights,4,0,10/31/2026
Stockholm,Belgrade,NYO,BEG,RS,40,155,0-1 flights,3,0,11/4/2026
Gothenborg,Belgrade,GOT,BEG,RS,40,145,0-1 flights,4,12/16/2021,11/4/2026
Karlsruhe/Baden-Baden,Belgrade,FKB,BEG,RS,40,115,0-1 flights,3,0,11/2/2026
Rome,Belgrade,FCO,BEG,RS,40,100,1-2 flights,12,10/31/2022,11/6/2026
London,Belgrade,LTN,BEG,RS,40,175,0-1 flights,6,0,11/2/2026
Bergamo,Belgrade,BGY,BEG,RS,40,98,0-1 flights,6,9/26/2023,11/1/2026
Dortmund,Belgrade,DTM,BEG,RS,50,125,1 flight,7,0,11/3/2026
Malmoe,Belgrade,MMX,BEG,RS,50,130,0-1 flights,4,0,11/2/2026
Nis,Belgrade,INI,BEG,RS,50,50,0-2 flights,4,0,11/3/2026
Tivat,Belgrade,TIV,BEG,RS,50,50,3 flights,21,10/29/2023,11/6/2026
Copenhagen,Belgrade,CPH,BEG,RS,50,135,1-2 flights,9,7/24/2023,11/6/2026
