hotel_name,destination_city,area,price_per_stay,rating_score,stars,breakfast,distance,description,reviews,guest_reviews
Exe Carlton Hotel Budapest,Budapest,01. Budavár,365,8.1,4,,1.3 km from center,Double or Twin Room,271 reviews,
Váralja Home,Budapest,01. Budavár,371,9.1,3,,1.6 km from center,Deluxe Queen Room,434 reviews,Location 9.4
Sun Resort Apartments,Budapest,08. Józsefváros,372,7.6,3,,2 km from center,Deluxe Studio 4 adults,"1,066 reviews",
Historical building Brody Apartment,Budapest,08. Józsefváros,378,7.6,3,,0.9 km from center,Apartment,58 reviews,
Pal's Hostel and Apartments,Budapest,05. Belváros - Lipótváros,378,8.7,0,,400 m from center, Double Room with Private Bathroom,"1,161 reviews",Location 9.8
The Whistling Rabbi,Budapest,07. Erzsébetváros,379,6.6,3,,0.6 km from center,Apartment - Ground Floor,181 reviews,
H2 Hotel Budapest,Budapest,05. Belváros - Lipótváros,381,8.9,0,Breakfast included,0.6 km from center,Comfort Double Room,"7,783 reviews",Location 9.8
Alice Hotel,Budapest,06. Terézváros,385,9.3,4,Breakfast included,2.2 km from center,Double or Twin Room,"1,127 reviews",Location 9.3
The Aquincum Hotel Budapest,Budapest,03. Óbuda,389,7.9,4,,4.5 km from center,Superior Room,"3,309 reviews",
Corvin Rose Apartment Hotel,Budapest,08. Józsefváros,390,7.6,3,,2.1 km from center,Studio with Balcony,82 reviews,
Hotel Nemzeti Budapest - MGallery,Budapest,08. Józsefváros,391,8.6,4,,1.1 km from center,Classic Room with One Double Bed,466 reviews,
NH Budapest City,Budapest,13. Angyalföld,408,8.2,4,,1.7 km from center,Standard Twin Room,"2,633 reviews",
UNIQUE TOWN APARTMENT. CLEAR COMFORT.,Budapest,07. Erzsébetváros,408,9.6,3,,1.2 km from center,Apartment,79 reviews,Location 9.4
House Beletage-Boutique Hotel,Budapest,08. Józsefváros,409,9.1,3,Breakfast included,1.1 km from center,Superior Double or Twin Room,442 reviews,
Agape Apartments,Budapest,07. Erzsébetváros,409,7.5,3,,0.9 km from center,One-Bedroom Apartment,"1,429 reviews",
Mercure Budapest Korona,Budapest,05. Belváros - Lipótváros,410,8.3,4,,0.9 km from center,Superior Double Room,"1,157 reviews",Location 9.3
First Budhapest Central Flat,Budapest,05. Belváros - Lipótváros,410,8.4,3,,0.6 km from center,Two-Bedroom Apartment,99 reviews,Location 9.8
Novotel Budapest Danube,Budapest,02. Rózsadomb,412,8.1,4,,1.8 km from center,Superior Family  Double Room with Sofa Bed ,"1,923 reviews",
Christie's Downtown Apartment,Budapest,07. Erzsébetváros,413,8.5,4,,0.8 km from center,One-Bedroom Apartment,2 reviews,
Continental Hotel Budapest,Budapest,07. Erzsébetváros,413,8.3,4,,0.8 km from center,Standard Room,"2,399 reviews",
Stupendous Apartment,Budapest,06. Terézváros,415,9.2,3,,350 m from center,One-Bedroom Apartment,63 reviews,Location 9.9
Boutique Hotel Budapest,Budapest,05. Belváros - Lipótváros,416,8.6,4,,1.1 km from center,Standard Double Room,839 reviews,Location 9.4
Holiday Beach Budapest Wellness Hotel with Sauna Park,Budapest,03. Óbuda,416,7.7,4,Breakfast included,10.1 km from center,Single Room,458 reviews,
French style charming apartment with garden,Budapest,08. Józsefváros,420,,0,,1.1 km from center,Two-Bedroom Apartment,,
Adina Apartment Hotel Budapest,Budapest,13. Angyalföld,422,9.2,4,,2.4 km from center,Studio,418 reviews,
Courtyard by Marriott Budapest City Center,Budapest,08. Józsefváros,430,8.7,4,,1.1 km from center,Deluxe Room with Two Double Beds,"1,302 reviews",
Rakoczi Studios,Budapest,07. Erzsébetváros,432,8.6,3,,0.9 km from center,Standard Studio,54 reviews,Location 9.3
Diamond Apartman,Budapest,05. Belváros - Lipótváros,437,9.0,0,,500 m from center,Studio Apartment,1 review,Location 10
Bo18 Hotel Superior,Budapest,08. Józsefváros,445,9.1,3,,1.7 km from center,Standard Double or Twin Room,"2,089 reviews",
Greengary Budapest apartments,Budapest,06. Terézváros,446,7.5,3,,0.7 km from center,Standard Studio,65 reviews,Location 9.4
Népliget Hotel,Budapest,Budapest,446,7.7,0,,3.2 km from center,Triple Room - Disability Access,576 reviews,
Madach Apartment,Budapest,07. Erzsébetváros,449,8.8,3,,150 m from center,Apartment,143 reviews,Location 9.9
Krane Apartments Sas,Budapest,05. Belváros - Lipótváros,449,8.9,3,,350 m from center,Apartment,146 reviews,Location 9.9
BUDAPEST HEART by GOZSDU APARTMENT,Budapest,07. Erzsébetváros,454,8.8,0,,400 m from center,One-Bedroom Apartment,18 reviews,Location 10
Hilton Garden Inn Budapest City Centre,Budapest,06. Terézváros,455,8.4,4,,0.5 km from center,King Guest Room,"1,914 reviews",Location 9.3
Five Season's Apartment,Budapest,11. Újbuda,455,8.5,4,,1.6 km from center,One-Bedroom Apartment with Balcony,248 reviews,Location 9.6
Leonardo Boutique Hotel Budapest M-Square,Budapest,07. Erzsébetváros,456,8.9,4,,100 m from center,Comfort Room,"2,201 reviews",Location 9.7
12 Revay Hotel,Budapest,06. Terézváros,456,9.0,3,,450 m from center,Standard Double Room,"1,278 reviews",Location 9.7
K+K Hotel Opera,Budapest,06. Terézváros,458,8.3,4,,0.6 km from center,Cozy Urban,"3,140 reviews",Location 9.5
R&R Apartment City Park,Budapest,07. Erzsébetváros,461,,0,,1.7 km from center,Apartment - Split Level,,
Giselle Vintage Doubles,Budapest,05. Belváros - Lipótváros,462,8.7,0,,0.5 km from center,Budget Double Room,34 reviews,Location 9.9
Corvin Residence Apartments,Budapest,08. Józsefváros,463,8.8,3,,2.1 km from center,Apartment with Balcony,401 reviews,Location 9.4
Eurostars Ambassador,Budapest,06. Terézváros,463,9.2,4,,1.1 km from center,Deluxe Double Room,"1,295 reviews",Location 9.4
Hotel Zenit Budapest Palace,Budapest,05. Belváros - Lipótváros,463,8.7,4,,0.5 km from center,Standard Double Room,"2,635 reviews",Location 9.7
"Provence Home - CityCenter, TV, Washer, Coffee-Tea",Budapest,06. Terézváros,466,8.4,3,,0.9 km from center,Studio Apartment,25 reviews,
D8 Hotel,Budapest,05. Belváros - Lipótváros,468,8.9,3,Breakfast included,0.5 km from center,Standard Queen Room,"4,657 reviews",Location 9.8
Fireplace Holidays,Budapest,07. Erzsébetváros,474,9.2,3,,1.3 km from center,Superior Apartment,47 reviews,
Vagabond Grand'Or,Budapest,07. Erzsébetváros,475,8.8,4,,0.7 km from center,Superior Studio,642 reviews,
Mercure Budapest City Center,Budapest,05. Belváros - Lipótváros,476,8.5,4,,450 m from center,Superior Double Room,"2,147 reviews",Location 9.7
Carat Boutique Hotel,Budapest,06. Terézváros,477,8.6,4,Breakfast included,100 m from center,Double or Twin Room with Garden View,"1,310 reviews",Location 9.6
Danubius Hotel Helia,Budapest,13. Angyalföld,479,8.1,4,,3.1 km from center,Standard Double Room,"5,946 reviews",
Eurostars Danube Budapest,Budapest,07. Erzsébetváros,482,8.8,4,,150 m from center,Standard Double or Twin Room,"2,150 reviews",Location 9.6
Zen Hostel by Central Market,Budapest,05. Belváros - Lipótváros,486,9.0,0,,1.1 km from center,Bunk Bed in Mixed Dormitory Room,"1,258 reviews",Location 9.6
RothApartments'STUDIO,Budapest,07. Erzsébetváros,486,9.3,3,,1 km from center,One-Bedroom Apartment,18 reviews,Location 9.3
Bo33 Hotel Family & Suites,Budapest,07. Erzsébetváros,490,9.2,4,,1.4 km from center,Deluxe Double Room with Balcony ,"2,654 reviews",
Prince Apartments,Budapest,08. Józsefváros,492,8.5,3,,1.6 km from center,One-Bedroom Apartment,"1,306 reviews",
Budapest Holidays Residence,Budapest,08. Józsefváros,493,8.6,3,,0.6 km from center,Deluxe Studio,"1,413 reviews",Location 9.4
Krisna Apartment,Budapest,13. Angyalföld,495,8.6,3,,3.6 km from center,Two-Bedroom Apartment,24 reviews,
Urban Jungle Apartment in the Citycenter,Budapest,06. Terézváros,503,9.2,4,,0.6 km from center,Two-Bedroom Apartment,5 reviews,Location 9.4
Buda Castle Hotel Budapest,Budapest,01. Budavár,507,8.6,4,Breakfast included,1.9 km from center,Superior Double or Twin Room,620 reviews,Location 9.3
KIRÁLY78 HUGE APARTMENT,Budapest,Budapest City Center,510,8.0,0,,1.1 km from center,Three-Bedroom Apartment,14 reviews,
7Seasons Apartments Budapest,Budapest,06. Terézváros,511,8.8,4,,100 m from center,Studio Apartment,"7,030 reviews",Location 9.7
Designer 2 bedroom Apt-basilica 2 min walk,Budapest,05. Belváros - Lipótváros,524,9.0,4,,300 m from center,Two-Bedroom Apartment,53 reviews,Location 9.6
OASIS Guest House Budapest,Budapest,08. Józsefváros,524,9.2,3,,1.2 km from center,Studio Apartment,178 reviews,Location 9.6
Andrassy Garden Apt in Center,Budapest,06. Terézváros,526,9.6,3,,2 km from center,One-Bedroom Apartment,36 reviews,
New York Cafe Apt in Center,Budapest,07. Erzsébetváros,526,9.4,0,,1.3 km from center,One-Bedroom Apartment,20 reviews,
Escala Hotel & Suites,Budapest,08. Józsefváros,532,8.7,4,Breakfast included,2.1 km from center,Deluxe Studio,"1,085 reviews",
Budapest Griffin Guest House,Budapest,05. Belváros - Lipótváros,544,8.3,3,Breakfast included,0.9 km from center,Standard King Room,49 reviews,Location 9.5
Concept Apartments,Budapest,07. Erzsébetváros,546,8.4,3,,0.5 km from center,Deluxe Studio,127 reviews,Location 9.6
Lansky,Budapest,05. Belváros - Lipótváros,550,8.3,3,,1.1 km from center,Standard Single Room,279 reviews,Location 9.7
The Three Corners Downtown Edition Hotel,Budapest,05. Belváros - Lipótváros,555,9.2,4,Breakfast included,0.6 km from center,Smart Edition Double or Twin Room,575 reviews,Location 9.8
Hotel Mika Downtown,Budapest,07. Erzsébetváros,560,8.3,3,Breakfast included,450 m from center,Double Room,"3,951 reviews",Location 9.3
Jobelhome Apartments,Budapest,07. Erzsébetváros,576,9.3,4,,0.8 km from center,One-Bedroom Apartment,191 reviews,Location 9.4
The Loft Budapest,Budapest,05. Belváros - Lipótváros,580,8.7,0,,350 m from center,Loft Suite,138 reviews,Location 9.7
"Crowne Plaza Budapest, an IHG Hotel",Budapest,06. Terézváros,598,9.0,4,,1.8 km from center,Standard Queen Room,365 reviews,
Spacious Evergreen Apartment in the heart of Budapest,Budapest,06. Terézváros,610,9.1,4,,0.9 km from center,Apartment with view on Liszt Ferenc Square,21 reviews,Location 9.8
Hotel Memories Budapest,Budapest,07. Erzsébetváros,619,8.6,4,,350 m from center,Single Room with Garden View,"8,454 reviews",Location 9.5
"art'otel budapest, Powered by Radisson Hotels",Budapest,01. Budavár,633,8.7,4,,1.4 km from center,Art Twin/Double Room,"1,348 reviews",Location 9.4
Enzo Capo Suites Down Town,Budapest,05. Belváros - Lipótváros,657,8.8,4,,300 m from center,One-Bedroom Apartment,167 reviews,Location 9.6
Gateway Budapest City Center,Budapest,05. Belváros - Lipótváros,658,9.3,4,,0.9 km from center,Superior Apartment - 1054 Széchenyi utca 8.,280 reviews,Location 9.7
Hotel Oktogon Haggenmacher,Budapest,06. Terézváros,658,9.2,4,,1.1 km from center,Standard Double or Twin Room,"1,193 reviews",Location 9.6
Hotel Memories OldTown,Budapest,05. Belváros - Lipótváros,663,9.4,4,Breakfast included,0.9 km from center,Standard Double Room,"1,459 reviews",Location 9.6
Hilton Budapest,Budapest,01. Budavár,675,8.7,5,,1.8 km from center,King Guest Room,"1,503 reviews",Location 9.3
Santos 1214 Apartment,Budapest,13. Angyalföld,682,10.0,0,,4.3 km from center,Apartment with Terrace,1 review,Location 10
Budapest Holidays Apartments & Spa,Budapest,06. Terézváros,697,8.1,3,,0.9 km from center,Studio,638 reviews,
BALTAZÁR Boutique Hotel by Zsidai Hotels at Buda Castle,Budapest,01. Budavár,717,8.8,4,Breakfast included,2.2 km from center,Double Deluxe,188 reviews,Location 9.3
Emerald Hotel,Budapest,05. Belváros - Lipótváros,726,9.4,4,,300 m from center,Superior Double Room,"1,635 reviews",Location 9.8
Emerald Downtown Suites,Budapest,05. Belváros - Lipótváros,726,9.5,4,,300 m from center,Apartment,"1,445 reviews",Location 9.9
Áurea Ana Palace by Eurostars Hotel Company,Budapest,05. Belváros - Lipótváros,731,9.4,5,,1 km from center,Double Room,"1,640 reviews",Location 9.6
Mystery Hotel Budapest,Budapest,06. Terézváros,738,9.1,5,,1.6 km from center,Partner offer option,"1,201 reviews",
Prestige Hotel Budapest,Budapest,05. Belváros - Lipótváros,741,9.2,4,,0.7 km from center,Standard Double Room,"1,371 reviews",Location 9.7
NH Collection Budapest City Center,Budapest,07. Erzsébetváros,754,8.8,4,,1.2 km from center,Studio Double with Extra Bed (2 Adults + 1 Child),791 reviews,
"InterContinental Budapest, an IHG Hotel",Budapest,05. Belváros - Lipótváros,778,8.7,5,,0.6 km from center,Classic Double Room,"3,093 reviews",Location 9.7
Budapest Marriott Hotel,Budapest,05. Belváros - Lipótváros,847,8.8,5,,0.6 km from center,"Deluxe Room, Guest room, 1 King","1,859 reviews",Location 9.7
Kempinski Hotel Corvinus Budapest,Budapest,05. Belváros - Lipótváros,896,9.1,5,,250 m from center,Superior Room,"2,102 reviews",Location 9.8
BpR Elite Apartments - Sky Terrace,Budapest,06. Terézváros,953,8.9,4,,0.9 km from center,CHROMATIC Vibe Apartment,262 reviews,Location 9.5
Hotel Clark Budapest - Adults Only,Budapest,01. Budavár,1023,9.2,5,,1.2 km from center,Double Room with Danube View,"2,225 reviews",Location 9.4
Parliment Luxury Apartment,Budapest,05. Belváros - Lipótváros,1037,9.4,4,,0.8 km from center,Duplex Apartment,77 reviews,Location 9.8
Anantara New York Palace Budapest,Budapest,07. Erzsébetváros,1039,9.1,5,,1.1 km from center,Premier Double or Twin Room,"2,545 reviews",
ABT Apartments Karoly,Budapest,05. Belváros - Lipótváros,1142,9.5,4,,250 m from center,Apartment with Balcony,168 reviews,Location 9.8
"Párisi Udvar Hotel Budapest, part of Hyatt",Budapest,05. Belváros - Lipótváros,1200,9.3,5,,450 m from center,King Room,524 reviews,Location 9.7
ARTEMISIA Luxury Apartments PENTHOUSE,Budapest,07. Erzsébetváros,1206,9.4,4,Breakfast included,0.5 km from center,Artemisia PENTHOUSE Luxury Apartments,53 reviews,Location 9.6
"The Ritz-Carlton, Budapest",Budapest,05. Belváros - Lipótváros,1266,9.3,5,,200 m from center,"Superior Guest room, 1 King, Park or City view",353 reviews,Location 9.7
Matyashegyi Apartment with jacuzzi,Budapest,03. Óbuda,1635,9.6,3,,4.7 km from center,Apartment,7 reviews,Location 9.3
Aria Hotel Budapest by Library Hotel Collection,Budapest,05. Belváros - Lipótváros,1841,9.6,5,Breakfast included,350 m from center,Luxury King Room with Music Garden View,313 reviews,Location 9.9
Four Seasons Hotel Gresham Palace Budapest,Budapest,05. Belváros - Lipótváros,1923,9.2,5,,0.7 km from center,Superior Room with Two Twin Beds,373 reviews,Location 9.8
Casa Nora,Budapest,07. Erzsébetváros,2827,5.9,0,,450 m from center,Single Bed in 8-Bed Dormitory Room,966 reviews,
Casa céntrico,Budapest,09. Ferencváros,4542,7.4,0,,1.5 km from center,Bed in 6-Bed Female Dormitory Room,47 reviews,
Downtown Buda Homes Relax,Budapest,11. Újbuda,6661,6.0,0,,2.8 km from center,Double Room with Garden View,81 reviews,
Maverick Hostel & Ensuites,Budapest,05. Belváros - Lipótváros,7268,8.6,0,,0.5 km from center,Single Bed in Mixed 8-Bed Dormitory Room,"1,866 reviews",Location 9.7
Adagio Hostel 2.0 Basilica,Budapest,06. Terézváros,7368,7.8,0,,300 m from center,Bed in 8-Bed Dormitory Room with Private Bathroom,"2,004 reviews",Location 9.6
Maverick City Lodge,Budapest,07. Erzsébetváros,8063,8.7,0,,0.5 km from center,Bed in Mixed 6-Bed Dormitory Room,"3,581 reviews",Location 9.5
Maverick Urban Lodge,Budapest,09. Ferencváros,8269,8.8,0,,1.5 km from center,Bed in 6-Bed Female Only Dormitory Room,"3,314 reviews",
Absolut City Hostel,Budapest,07. Erzsébetváros,8781,7.8,0,,100 m from center,Bed in 6-Bed Mixed Dormitory Room,974 reviews,Location 9.5
Das Nest Budapest,Budapest,07. Erzsébetváros,9374,8.3,0,,0.8 km from center,Bed in 6-Bed Mixed Dormitory Room,827 reviews,Location 9.3
Das Nest Budapest,Budapest,07. Erzsébetváros,9379,8.3,0,,0.8 km from center,Bed in 6-Bed Mixed Dormitory Room,827 reviews,Location 9.3
Buda Centre Homes by the Allee Shopping Mall,Budapest,11. Újbuda,9488,5.0,0,,2.6 km from center,Double Room with Garden View,208 reviews,
Chisinau Chill Hostel,Chişinău,Chişinău,34,7.4,0,,1.6 km from center,Bed in 10-Bed Mixed Dormitory Room,173 reviews,
Bern Hostel,Chişinău,Chişinău,39,7.9,0,,1.1 km from center,Bed in 8-Bed Dormitory Room,25 reviews,
Hostel Amazing Ionika,Chişinău,Chişinău,55,9.5,0,,0.8 km from center,Bed in 10-Bed Mixed Dormitory Room,646 reviews,Location 9.6
Friends Hostel,Chişinău,Chişinău,64,8.1,0,,0.6 km from center,Female Dormitory Room,25 reviews,
Aria Hotel Chisinau,Chişinău,Chişinău,91,7.9,4,,3.4 km from center,Single Bed in Dormitory Room,489 reviews,
Zarea Hotel,Chişinău,Chişinău,101,6.1,0,,0.7 km from center,Economy Twin Room with Shared Bathroom,328 reviews,
Santorini,Chişinău,Chişinău,114,6.2,3,,4.2 km from center,Standard Queen Room,122 reviews,
Bella Donna Hotel,Chişinău,Chişinău,125,5.3,3,,1.6 km from center,Small Double Room,382 reviews,
Bazar Motel,Chişinău,Chişinău,137,8.6,0,,1.1 km from center,Double Room with Private Bathroom,194 reviews,
Kiki's Villa,Chişinău,Chişinău,160,9.0,0,,4.2 km from center,Double Room with Garden View,183 reviews,
Vila Muntenia Hotel,Chişinău,Chişinău,160,8.9,3,,6 km from center,Standard Double Room,72 reviews,
Center of Chisinau 2 Rooms,Chişinău,Chişinău,171,9.7,0,,1.1 km from center,One-Bedroom Apartment,4 reviews,Location 10
Apartament on Lev Tolstoi 43b!,Chişinău,Chişinău,189,7.1,3,,1.6 km from center,One-Bedroom Apartment,7 reviews,
Europa Hotel,Chişinău,Chişinău,192,7.5,3,Breakfast included,2.1 km from center,Standard Single Room,131 reviews,
77/5,Chişinău,Chişinău,194,8.4,3,,0.5 km from center,Twin Room with Private Bathroom,364 reviews,
Wine Hotel Chisinau,Chişinău,Chişinău,196,8.6,0,Breakfast included,2.5 km from center,Standard Double Room,"1,012 reviews",
Chisinau Hotel,Chişinău,Chişinău,205,5.8,0,Breakfast included,1.8 km from center,Standard Single Room,434 reviews,
Apartament confortabil si cald in centrul Chisinaului Lev Tolstoi 43A,Chişinău,Chişinău,214,9.2,3,,1.6 km from center,One-Bedroom Apartment,13 reviews,
Bed & Breakfast Olsi,Chişinău,Chişinău,225,8.6,4,Breakfast included,1.3 km from center,Standard Single Room,"1,671 reviews",
London Boutique Hotel,Chişinău,Chişinău,228,9.0,4,,1.4 km from center,Single Room,791 reviews,
ApartHotel Chisinau CENTER,Chişinău,Chişinău,239,,0,,1 km from center,Studio with Balcony,,
Diplomat Club Hotel,Chişinău,Chişinău,251,8.7,5,Breakfast included,1.5 km from center,Economy Single Room,230 reviews,
Villa Arus,Chişinău,Chişinău,251,9.2,4,,1.9 km from center,Economy Double Room,188 reviews,
RentWill apartments Oliva,Chişinău,Chişinău,269,,0,,4.2 km from center,Two-Bedroom Apartment,,
TipTop Hotel CITY CENTER,Chişinău,Chişinău,291,8.1,0,,1 km from center,Large Double Room,169 reviews,
Regency Hotel,Chişinău,Chişinău,342,8.8,4,Breakfast included,0.8 km from center,Comfort Double Room,243 reviews,
Bristol Central Park Hotel,Chişinău,Chişinău,343,9.0,4,Breakfast included,300 m from center,Small Double or Twin Room,"1,925 reviews",Location 9.7
City Park Hotel,Chişinău,Chişinău,349,8.8,4,,450 m from center,Standard Double Room,"1,367 reviews",Location 9.6
Flowers Hotel,Chişinău,Chişinău,352,8.5,4,Breakfast included,1.7 km from center,Single Room with Single Bed and Balcony - Non-Smoking,202 reviews,
Premier City Apart Hotel Chisinau,Chişinău,Chişinău,415,9.1,4,,1.2 km from center,Superior Apartment,175 reviews,
GREGORY Hotel Dendrarium Park,Chişinău,Chişinău,417,9.7,4,,2.1 km from center,Twin Room,175 reviews,Location 9.4
Lion's Hotel,Chişinău,Chişinău,441,9.0,4,Breakfast included,0.6 km from center,Single Room,393 reviews,Location 9.3
Courtyard by Marriott Chisinau,Chişinău,Chişinău,485,9.0,4,,2.3 km from center,"Standard, Guest room, 2 Twin/Single Bed(s), City view",223 reviews,
GREGORY Hotel Chisinau,Chişinău,Chişinău,487,9.9,4,,0.7 km from center,Double Room,420 reviews,Location 9.8
Nobil Luxury Boutique Hotel,Chişinău,Chişinău,648,9.1,5,Breakfast included,400 m from center,Standard Single Room,352 reviews,Location 9.6
Hostel City Center,Chişinău,Chişinău,6857,9.1,0,,350 m from center,Bed in 4-Bed Male Dormitory Room,"1,983 reviews",Location 9.7
404-Hostel,Cologne,Nippes,118,8.0,0,Breakfast included,3.4 km from center,Bed in 6-Bed Mixed Dormitory Room,239 reviews,
Pathpoint Cologne - Backpacker Hostel,Cologne,Altstadt-Nord,121,8.1,0,,0.6 km from center,Single Bed in 8-Bed Male Dormitory Room,690 reviews,
Station - Hostel for Backpackers,Cologne,Altstadt-Nord,127,7.2,0,,400 m from center,Single Bed in Mixed 6-Bed Dormitory Room with Shared Bathroom,"1,927 reviews",Location 9.3
a&o Köln Neumarkt,Cologne,Altstadt-Süd,141,7.3,2,,1.4 km from center,Bed in 4-Bed Dormitory Room,"5,456 reviews",
Hostel die Wohngemeinschaft,Cologne,Neustadt-Süd,142,9.0,0,,1.7 km from center,Single Bed in 8-Bed Dormitory Room,"1,927 reviews",
Jugendherberge City-Hostel Köln-Riehl,Cologne,Riehl,196,7.7,0,Breakfast included,3.2 km from center,Single Bed in Dormitory Room - Female,"1,409 reviews",
ibis budget Köln Marsdorf,Cologne,Junkersdorf,249,7.6,1,,7.6 km from center,Standard Double Room,"1,130 reviews",
ibis budget Koeln Porz,Cologne,Gremberghoven,259,7.0,1,,6.8 km from center,Standard Room,"1,666 reviews",
Hotel Brandenburger Hof,Cologne,Altstadt-Nord,281,7.9,0,,500 m from center,Single Room with shared bathroom and toilet on hallway,"1,370 reviews",Location 9.4
Hotel Kunibert der Fiese - Superior,Cologne,Altstadt-Nord,285,7.0,3,,300 m from center,Single Room,720 reviews,Location 9.5
Südbrücke Köln,Cologne,Poll,340,7.2,3,,3.1 km from center,Standard Single Room,137 reviews,
Hotel Domblick Garni,Cologne,Altstadt-Nord,345,8.6,3,,0.6 km from center,Single Room,"1,291 reviews",Location 9.6
Hotel Friends,Cologne,Flittard,355,7.6,3,,6.9 km from center,Economy Single Room,567 reviews,
Hotel Lorien,Cologne,Holweide,366,7.0,3,,6.2 km from center,Standard Single Room with Shower,813 reviews,
Hotel Eigelstein,Cologne,Altstadt-Nord,370,7.9,0,Breakfast included,0.7 km from center,Single Room,945 reviews,
Hotel Arena,Cologne,Kalk,370,7.2,0,,3 km from center,Standard Single Room,596 reviews,
Hotel Cara Vita Cologne,Cologne,Altstadt-Nord,379,7.0,3,,0.9 km from center,Single Room,759 reviews,
Hotel Müller Köln,Cologne,Altstadt-Nord,384,7.3,3,,500 m from center,Single Room,"1,471 reviews",Location 9.3
Hotel Servatius,Cologne,Ostheim,389,8.3,3,Breakfast included,6.3 km from center,Single Room,992 reviews,
Mercure Hotel Köln City Friesenstraße,Cologne,Altstadt-Nord,394,7.4,4,,1.1 km from center,Standard Single Room,"1,307 reviews",
Leonardo Hotel Köln,Cologne,Buchforst,395,7.5,4,,3.5 km from center,Comfort Double or Twin Room,"6,236 reviews",
Hotel Domspitzen,Cologne,Altstadt-Nord,414,8.3,3,,0.5 km from center,Single Room with Private Bathroom in Hallway,"2,956 reviews",Location 9.5
Callas am Dom,Cologne,Altstadt-Nord,417,7.3,3,Breakfast included,150 m from center,Single Room,"1,384 reviews",Location 9.5
CityClass Hotel Europa am Dom,Cologne,Altstadt-Nord,419,8.2,4,,100 m from center,Comfort Single Room,"3,052 reviews",Location 9.6
Ibis budget Koeln Messe,Cologne,Deutz,426,7.1,2,,2 km from center,Twin Room,"2,885 reviews",
the niu Mill,Cologne,Mülheim,429,8.6,3,,4.2 km from center,Standard Double Room,"1,062 reviews",
Hotel Berg,Cologne,Altstadt-Nord,431,7.5,0,,500 m from center,Double or Twin Room,"2,011 reviews",Location 9.4
Hotel Boulevard - Superior,Cologne,Altstadt-Nord,434,8.1,3,,1.1 km from center,Single Room,356 reviews,
Buchholz Downtown Hotel,Cologne,Altstadt-Nord,438,8.2,3,Breakfast included,0.7 km from center,Standard Single Room,808 reviews,Location 9.3
Hotel Bürgerhof,Cologne,Niehl,438,7.8,3,,5.5 km from center,Single Room,690 reviews,
Liberty Hotel Cologne,Cologne,Deutz,438,6.9,0,,1 km from center,Single Room,649 reviews,
Akazienhof Hotel & Brauhaus,Cologne,Grengel,439,8.0,3,Breakfast included,11.8 km from center,Double Room,458 reviews,
Centro Hotel Ayun DELUXE,Cologne,Mülheim,439,7.1,4,,2.5 km from center,Single Room,250 reviews,
Mauritius Komfort Hotel in der Altstadt,Cologne,Altstadt-Süd,439,7.6,3,,0.8 km from center,Single Room,"1,213 reviews",
Hotel Lyskirchen,Cologne,Altstadt-Süd,439,7.9,4,,0.9 km from center,Economy Single Room,"3,177 reviews",
"Holiday Inn Express Cologne Mülheim, an IHG Hotel",Cologne,Mülheim,440,7.8,3,Breakfast included,5.2 km from center,Standard Double or Twin Room,"3,443 reviews",
Breslauer Hof Am Dom,Cologne,Altstadt-Nord,443,7.6,3,,400 m from center,Single Room,762 reviews,Location 9.5
Maternushaus,Cologne,Altstadt-Nord,452,8.4,0,Breakfast included,0.6 km from center,Superior Double or Twin Room,"2,575 reviews",
Moxy Cologne Muelheim,Cologne,Mülheim,458,8.5,0,,4.9 km from center,Standard Queen Room,626 reviews,
Astor und Aparthotel,Cologne,Altstadt-Nord,459,8.3,4,,1.2 km from center,Standard Single Room,682 reviews,
HOPPER Hotel St. Josef,Cologne,Altstadt-Süd,463,8.3,4,,1.8 km from center,Small Single Room,944 reviews,
CityClass Hotel Residence am Dom,Cologne,Altstadt-Nord,463,8.3,4,,250 m from center,Comfort Single Room,"3,084 reviews",Location 9.7
UHU Gästehaus Superior,Cologne,Dellbrück,466,8.6,0,Breakfast included,8.9 km from center,Single Room,356 reviews,
Wyndham Köln,Cologne,Altstadt-Nord,468,7.1,4,,350 m from center,Standard Double Room,"4,032 reviews",
TRYP by Wyndham Köln City Centre,Cologne,Altstadt-Nord,468,7.4,4,,500 m from center,Double Room,"1,824 reviews",
Essential by Dorint Köln-Junkersdorf,Cologne,Müngersdorf,472,7.6,3,,7.4 km from center,Essential Room With Single Bed,"1,003 reviews",
Koncept Hotel zum kostbaren Blut,Cologne,Altstadt-Nord,473,7.9,3,,350 m from center,Single Room,"1,184 reviews",Location 9.5
NunoHotel,Cologne,Altstadt-Süd,477,7.1,3,,1.7 km from center,Single Room,553 reviews,
The Midtown Hotel,Cologne,Altstadt-Nord,478,8.3,4,,1.1 km from center,Small Single Room,617 reviews,
Moxy Cologne Bonn Airport,Cologne,Grengel,483,8.4,0,,13.1 km from center,"Moxy Sleeper, Guest room, 1 Queen","3,157 reviews",Location 9.3
a&o Köln Dom,Cologne,Altstadt-Nord,487,7.3,2,,250 m from center,Single Room,"1,393 reviews",Location 9.3
Motel One Köln-Neumarkt,Cologne,Altstadt-Nord,488,8.6,3,,0.7 km from center,King Room,"4,543 reviews",Location 9.4
Koncept Hotel Josefine,Cologne,Nippes,496,8.2,3,,2.7 km from center,Standard Double Room,991 reviews,
